Model,Method,Time,ULS
segformer3d,2xdilation,0.1366337146610021,0.35164
segformer3d,2xdilation,0.1366507075726986,0.35164
segformer3d,2xdilation,0.1365235801786184,0.35164
segformer3d,2xdilation,0.1419500317424535,0.35164
segformer3d,2xdilation,0.1393492370843887,0.35164
segformer3d,2xdilation,0.1365561913698911,0.35164
segformer3d,2xdilation,0.1364113427698612,0.35164
segformer3d,2xdilation,0.1390835084021091,0.35164
segformer3d,2xdilation,0.136384854093194,0.35164
segformer3d,2xdilation,0.1364484224468469,0.35164
segformer3d,2xdilation,0.1368382722139358,0.35164
segformer3d,2xdilation,0.1369789149612188,0.35164
segformer3d,2xdilation,0.1371189672499895,0.35164
segformer3d,2xdilation,0.1369292829185724,0.35164
segformer3d,2xdilation,0.1365609224885702,0.35164
segformer3d,2xdilation,0.1363531239330768,0.35164
segformer3d,2xdilation,0.1367742624133825,0.35164
segformer3d,2xdilation,0.1372097376734018,0.35164
segformer3d,2xdilation,0.1365589704364538,0.35164
segformer3d,2xdilation,0.136507112532854,0.35164
segformer3d,2xdilation,0.1373976115137338,0.35164
segformer3d,2xdilation,0.1367732714861631,0.35164
segformer3d,2xdilation,0.1365739088505506,0.35164
segformer3d,2xdilation,0.137036433443427,0.35164
segformer3d,2xdilation,0.1368033681064844,0.35164
segformer3d,2xdilation,0.1367025580257177,0.35164
segformer3d,2xdilation,0.1369212754070758,0.35164
segformer3d,2xdilation,0.1368252895772457,0.35164
segformer3d,2xdilation,0.136693513020873,0.35164
segformer3d,2xdilation,0.1368731185793876,0.35164
segformer3d,2xdilation,0.1371623072773218,0.35164
segformer3d,2xdilation,0.1371859535574913,0.35164
segformer3d,2xdilation,0.1368043888360262,0.35164
segformer3d,2xdilation,0.1368206366896629,0.35164
segformer3d,2xdilation,0.136450607329607,0.35164
segformer3d,2xdilation,0.1368583589792251,0.35164
segformer3d,2xdilation,0.1366367544978857,0.35164
segformer3d,2xdilation,0.1367295999079942,0.35164
segformer3d,2xdilation,0.1363763269037008,0.35164
segformer3d,2xdilation,0.137008199468255,0.35164
segformer3d,2xdilation,0.1365488301962614,0.35164
segformer3d,2xdilation,0.1364187486469745,0.35164
segformer3d,2xdilation,0.1368323899805545,0.35164
segformer3d,2xdilation,0.1366817466914653,0.35164
segformer3d,2xdilation,0.1363914161920547,0.35164
segformer3d,2xdilation,0.1367123275995254,0.35164
segformer3d,2xdilation,0.1367758456617593,0.35164
segformer3d,2xdilation,0.1367642153054475,0.35164
segformer3d,2xdilation,0.1367816645652055,0.35164
segformer3d,2xdilation,0.1367619875818491,0.35164
segformer3d,2xdilation,0.1367096193134784,0.35164
segformer3d,2xdilation,0.1369441002607345,0.35164
